,cik,company.name,ticker,date.filed,90_DAYS
0,1013880,TELETECH HOLDINGS INC,TTEC,2017-05-09,2017-08-07
1,1013880,TELETECH HOLDINGS INC,TTEC,2017-08-07,2017-11-05
2,1013880,TELETECH HOLDINGS INC,TTEC,2017-11-08,2018-02-06
3,1013880,TTEC Holdings  Inc ,TTEC,2018-05-10,2018-08-08
4,1013880,TTEC Holdings  Inc ,TTEC,2018-08-07,2018-11-05
5,1013880,TTEC Holdings  Inc ,TTEC,2018-11-07,2019-02-05
6,1013880,TTEC Holdings  Inc ,TTEC,2019-05-07,2019-08-05
7,1013880,TTEC Holdings  Inc ,TTEC,2019-08-07,2019-11-05
8,1013880,TTEC Holdings  Inc ,TTEC,2019-11-05,2020-02-03
9,1013880,TTEC Holdings  Inc ,TTEC,2020-05-04,2020-08-02
10,1013880,TTEC Holdings  Inc ,TTEC,2020-08-05,2020-11-03
11,1013880,TTEC Holdings  Inc ,TTEC,2020-11-04,2021-02-02
12,1013880,TTEC Holdings  Inc ,TTEC,2021-05-04,2021-08-02
13,1013880,TTEC Holdings  Inc ,TTEC,2021-08-03,2021-11-01
14,1013880,TTEC Holdings  Inc ,TTEC,2021-11-09,2022-02-07
15,1016281,CARRIAGE SERVICES INC,CSV,2017-04-26,2017-07-25
16,1016281,CARRIAGE SERVICES INC,CSV,2017-07-28,2017-10-26
17,1016281,CARRIAGE SERVICES INC,CSV,2017-10-25,2018-01-23
18,1016281,CARRIAGE SERVICES INC,CSV,2018-04-27,2018-07-26
19,1016281,CARRIAGE SERVICES INC,CSV,2018-07-31,2018-10-29
20,1016281,CARRIAGE SERVICES INC,CSV,2018-11-01,2019-01-30
21,1016281,CARRIAGE SERVICES INC,CSV,2019-05-02,2019-07-31
22,1016281,CARRIAGE SERVICES INC,CSV,2019-08-01,2019-10-30
23,1016281,CARRIAGE SERVICES INC,CSV,2019-10-30,2020-01-28
24,1016281,CARRIAGE SERVICES INC,CSV,2020-05-27,2020-08-25
25,1016281,CARRIAGE SERVICES INC,CSV,2020-08-04,2020-11-02
26,1016281,CARRIAGE SERVICES INC,CSV,2020-11-03,2021-02-01
27,1016281,CARRIAGE SERVICES INC,CSV,2021-05-05,2021-08-03
28,1016281,CARRIAGE SERVICES INC,CSV,2021-08-04,2021-11-02
29,1016281,CARRIAGE SERVICES INC,CSV,2021-11-03,2022-02-01
30,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2017-05-10,2017-08-08
31,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2017-08-04,2017-11-02
32,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2017-11-07,2018-02-05
33,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2018-05-10,2018-08-08
34,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2018-08-08,2018-11-06
35,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2018-11-08,2019-02-06
36,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2019-05-08,2019-08-06
37,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2019-08-08,2019-11-06
38,1028918,PACIFIC PREMIER BANCORP INC,PPBI,2019-11-07,2020-02-05
